Log Time,kerberos,Bat
2025-02-16 14:12:34,laptiev,3.411667
2025-02-16 14:12:00,laptiev,3.411667
2025-02-16 14:11:26,laptiev,3.49
2025-02-16 14:10:52,laptiev,3.486667
2025-02-16 14:10:18,laptiev,3.49
2025-02-16 14:09:44,laptiev,3.406667
2025-02-16 14:09:10,laptiev,3.493333
2025-02-16 14:08:36,laptiev,3.49
2025-02-16 14:08:02,laptiev,3.411667
2025-02-16 14:07:27,laptiev,3.488333
2025-02-16 14:06:53,laptiev,3.406667
2025-02-16 14:06:19,laptiev,3.49
2025-02-16 14:05:45,laptiev,3.413333
2025-02-16 14:05:11,laptiev,3.49
2025-02-16 14:04:37,laptiev,3.493333
2025-02-16 14:04:03,laptiev,3.413333
2025-02-16 14:03:29,laptiev,3.493333
2025-02-16 14:02:55,laptiev,3.415
2025-02-16 14:02:21,laptiev,3.411667
2025-02-16 14:01:47,laptiev,3.493333
2025-02-16 14:01:13,laptiev,3.49
2025-02-16 14:00:39,laptiev,3.493333
2025-02-16 14:00:04,laptiev,3.416667
2025-02-16 13:59:30,laptiev,3.486667
2025-02-16 13:58:56,laptiev,3.413333
2025-02-16 13:58:22,laptiev,3.49
2025-02-16 13:57:48,laptiev,3.491667
2025-02-16 13:57:14,laptiev,3.493333
2025-02-16 13:56:40,laptiev,3.408334
2025-02-16 13:56:06,laptiev,3.493333
2025-02-16 13:55:32,laptiev,3.493333
2025-02-16 13:54:58,laptiev,3.411667
2025-02-16 13:54:24,laptiev,3.493333
2025-02-16 13:53:50,laptiev,3.415
2025-02-16 13:53:15,laptiev,3.411667
2025-02-16 13:52:41,laptiev,3.493333
2025-02-16 13:52:07,laptiev,3.413333
2025-02-16 13:51:33,laptiev,3.493333
2025-02-16 13:50:59,laptiev,3.493333
2025-02-16 13:50:25,laptiev,3.413333
2025-02-16 13:49:51,laptiev,3.415
2025-02-16 13:49:17,laptiev,3.493333
2025-02-16 13:48:43,laptiev,3.493333
2025-02-16 13:48:09,laptiev,3.493333
2025-02-16 13:47:35,laptiev,3.416667
2025-02-16 13:47:01,laptiev,3.493333
2025-02-16 13:46:27,laptiev,3.493333
2025-02-16 13:45:52,laptiev,3.411667
2025-02-16 13:45:18,laptiev,3.416667
2025-02-16 13:44:44,laptiev,3.416667
2025-02-16 13:44:10,laptiev,3.493333
2025-02-16 13:43:36,laptiev,3.493333
2025-02-16 13:43:02,laptiev,3.416667
2025-02-16 13:42:28,laptiev,3.498333
2025-02-16 13:41:54,laptiev,3.495
2025-02-16 13:41:20,laptiev,3.418334
2025-02-16 13:40:46,laptiev,3.493333
2025-02-16 13:40:12,laptiev,3.416667
2025-02-16 13:39:38,laptiev,3.495
2025-02-16 13:39:04,laptiev,3.416667
2025-02-16 13:38:29,laptiev,3.498333
2025-02-16 13:37:55,laptiev,3.495
2025-02-16 13:37:21,laptiev,3.413333
2025-02-16 13:36:47,laptiev,3.495
2025-02-16 13:36:13,laptiev,3.418334
2025-02-16 13:35:39,laptiev,3.416667
2025-02-16 13:35:05,laptiev,3.493333
2025-02-16 13:34:31,laptiev,3.498333
2025-02-16 13:33:57,laptiev,3.416667
2025-02-16 13:33:23,laptiev,3.42
2025-02-16 13:32:49,laptiev,3.42
2025-02-16 13:32:15,laptiev,3.498333
2025-02-16 13:31:40,laptiev,3.498333
2025-02-16 13:31:06,laptiev,3.495
2025-02-16 13:30:32,laptiev,3.495
2025-02-16 13:29:58,laptiev,3.42
2025-02-16 13:29:24,laptiev,3.418334
2025-02-16 13:28:50,laptiev,3.498333
